Team1,Continent1,Rank1,num_champs_1,IsHost1,Team2,Continent2,Rank2,num_champs_2,IsHost2,result,result_int,world_cup,MATCH,Group
Costa_Rica',Concacaf',23,0,0,Serbia',Europe',34,0,0,0-1',2,2018,1,E
Costa_Rica',Concacaf',23,0,0,Switzerland',Europe',6,0,0,2-2',1,2018,3,E
Serbia',Europe',34,0,0,Switzerland',Europe',6,0,0,1-2',2,2018,2,E
Germany',Europe',1,4,0,Mexico',Concacaf',15,0,0,0-1',2,2018,1,F
Germany',Europe',1,4,0,Sweden',Europe',24,0,0,2-1',0,2018,2,F
Germany',Europe',1,4,0,South_korea',Asia',57,0,0,0-2',2,2018,3,F
Mexico',Concacaf',15,0,0,Sweden',Europe',24,0,0,0-3',2,2018,3,F
Mexico',Concacaf',15,0,0,South_korea',Asia',57,0,0,2-1',0,2018,2,F
Sweden',Europe',24,0,0,South_korea',Asia',57,0,0,1-0',0,2018,1,F
Belgium',Europe',3,0,0,England',Europe',12,1,0,1-0',0,2018,3,G
Belgium',Europe',3,0,0,Pananma',Concacaf',55,0,0,3-0',0,2018,1,G
Belgium',Europe',3,0,0,Tunisia',Africa',21,0,0,5-2',0,2018,2,G
England',Europe',12,1,0,Pananma',Concacaf',55,0,0,6-1',0,2018,2,G
England',Europe',12,1,0,Tunisia',Africa',21,0,0,2-1',0,2018,1,G
Pananma',Concacaf',55,0,0,Tunisia',Africa',21,0,0,1-2',2,2018,3,G
Columbia',South_America',16,0,0,Poland',Europe',8,0,0,3-0',0,2018,2,H
Columbia',South_America',16,0,0,Senegal',Africa',27,0,0,1-0',0,2018,3,H
Columbia',South_America',16,0,0,Japan',Asia',61,0,0,1-2',2,2018,1,H
Poland',Europe',8,0,0,Senegal',Africa',27,0,0,1-2',2,2018,1,H
Poland',Europe',8,0,0,Japan',Asia',61,0,0,1-0',0,2018,3,H
Senegal',Africa',27,0,0,Japan',Asia',61,0,0,2-2',1,2018,2,H
